"정본CSV행번호","업소명","시도","시군구","소재지도로명주소","소재지지번주소","혜택상태","좌표검토상태","지도표시정책","혜택검토상태","출시판정","좌표검토행수","혜택검토행수","정본반영여부"
"92","천하수산","경기도","군포시","경기도 군포시대야1로15- 3(대야미동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"93","구름상상(산본점)","경기도","군포시","경기도 군포시산본천로199- 5(산본동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"94","문이네 카페","경기도","군포시","경기도 군포시수리산로203번안길40103,104호(산본동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"95","야미커피","경기도","군포시","경기도 군포시대야1로6번길22- 2103호(대야미동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"96","카카오가든","경기도","군포시","경기도 군포시대야1로192층 (대야미동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"109","이승옥 냉 돈돼지","경기도","파주시","파주시 평화로 8 (금촌동)","경기도 파주시 금촌동 946-20","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"117","수민헤어","경기도","김포시","경기도 김포시통진읍조강로98(통진읍서암리, 1층)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","0","아니오"
"121","까미헤어","경기도","동두천시","경기도 동두천시 평화로2261번길 52(지행동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"128","샤론의꽃 미용아카데미","경기도","동두천시","경기도 동두천시 중앙로7번길 15(송내동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"129","세아떼바버샵","경기도","동두천시","경기도 동두천시 이담로89, 상가동 106호(지행동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"137","잔디이발관","경기도","동두천시","경기도 동두천시 중앙로369(보산동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"139","정헤어샾","경기도","동두천시","경기도 동두천시 동광로83-1(생연동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"140","제이제이 남성컷트전문","경기도","동두천시","경기도 동두천시 평화로2530번길 30(보산동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"141","젠틀맨","경기도","동두천시","경기도 동두천시 중앙로362번길 8(생연동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"143","최재실 원헤어","경기도","동두천시","경기도 동두천시 평화로2397번길 17, 2층(생연동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"144","추은옥머리쟁이","경기도","동두천시","경기도 동두천시 행선로102(생연동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"145","쿨헤어샵","경기도","동두천시","경기도 동두천시 중앙로311(생연동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"146","하니머리나라","경기도","동두천시","경기도 동두천시 삼육사로1002번길 97(지행동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"147","헤어고","경기도","동두천시","경기도 동두천시 중앙로230-1, 1층(생연동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"149","헤어뱅크","경기도","동두천시","경기도 동두천시 중앙로297, 1층 104호(생연동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"150","헤어카페","경기도","동두천시","경기도 동두천시 행선로110번길 9, 상가동 102호(생연동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"153","강스시","경기도","동두천시","경기도 동두천시 어수로83번길 38, 1층(생연동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"158","깐부치킨 동두천지행역점","경기도","동두천시","경기도 동두천시 중앙로134-20, 1층(지행동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"165","소요산명품한우식당","경기도","동두천시","경기도 동두천시 평화로2910번길 1(상봉암동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"166","슈퍼크리스피 동두천지행점","경기도","동두천시","경기도 동두천시 중앙로132, 105호(지행동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"167","쌍둥이족발","경기도","동두천시","경기도 동두천시 생연로122, 1층(생연동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"168","압구정 화로구이","경기도","동두천시","경기도 동두천시 지행로52, 108~110호(지행동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
"169","어멍생고기","경기도","동두천시","경기도 동두천시 동두천로119, 1층(지행동)","","이용 가능","위치 확인 필요","지도 핀 미표시 · 주소 직접 확인","최신 공식 혜택 근거 없음","보류: 최신 공식 혜택 근거 없음","0","1","아니오"
