"rowNumber","storeName","inputAddress","expectedSido","replacedInvalidCoordinate","status","resultCount","matchedAddress","latitude","longitude","message"
"281","대성이발관","경기도 수원시 팔달구 인계로68번길 52","경기도","False","MATCHED","1","경기도 수원시 팔달구 인계로68번길 52 창조의집","37.2666657","127.0240315","시도 일치 단일 검색 결과"
"282","로이스바버샵&로이스SMP 수원성대점","경기도 수원시 장안구 서부로2181번길 55","경기도","False","MATCHED","1","경기도 수원시 장안구 서부로2181번길 55","37.3032145","126.9697317","시도 일치 단일 검색 결과"
"284","부흥이발관","경기도 수원시 영통구 동수원로514번길 59 (매탄동)","경기도","False","MATCHED","1","경기도 수원시 영통구 동수원로514번길 59","37.2714983","127.0493876","시도 일치 단일 검색 결과"
"285","새현이용원","경기도 수원시 권선구 세권로43번길 26-6 (세류동","경기도","False","MATCHED","1","경기도 수원시 권선구 세권로43번길 26-6 수원권선 어울림","37.2600021","127.0097506","시도 일치 단일 검색 결과"
"286","세동이발관","경기도 수원시 권선구 세권로 66 (세류동)","경기도","False","MATCHED","1","경기도 수원시 권선구 세권로 66","37.2587649","127.0115676","시도 일치 단일 검색 결과"
"287","시저스맨","경기도 수원시 영통구 매탄로140번길 54-18 (매탄동)","경기도","False","MATCHED","1","경기도 수원시 영통구 매탄로140번길 54-18","37.2616348","127.0464413","시도 일치 단일 검색 결과"
"290","아임남자머리","경기도 수원시 팔달구 팔달문로175번길 7","경기도","False","MATCHED","1","경기도 수원시 팔달구 팔달문로175번길 7","37.2838484","127.0348205","시도 일치 단일 검색 결과"
"291","안양승이용원","경기도 수원시 영통구 영통로 323","경기도","False","MATCHED","1","경기도 수원시 영통구 영통로 323","37.2547998","127.0630667","시도 일치 단일 검색 결과"
"292","양성현 헤어아트","경기도 수원시 권선구 권광로91번길 55","경기도","False","MATCHED","1","경기도 수원시 권선구 권광로91번길 55 오가기린","37.2568079","127.0266003","시도 일치 단일 검색 결과"
"293","엘지이용원","경기도 수원시 장안구 파장로68번길 46 (파장동)","경기도","False","MATCHED","1","경기도 수원시 장안구 파장로68번길 46","37.3077438","126.992175","시도 일치 단일 검색 결과"
"294","영길이용원","경기도 수원시 권선구 고현로5번길 25 (고색동","경기도","False","MATCHED","1","경기도 수원시 권선구 고현로5번길 25 거산아파트","37.2480159","126.9862408","시도 일치 단일 검색 결과"
"295","우리이용원","경기도 수원시 장안구 장안로103번길 5 (정자동)","경기도","False","MATCHED","1","경기도 수원시 장안구 장안로103번길 5","37.292968","127.001011","시도 일치 단일 검색 결과"
"296","원천이발관","경기도 수원시 영통구 매영로 141","경기도","False","MATCHED","1","경기도 수원시 영통구 매영로 141 원천훼밀리타운","37.2667102","127.0581659","시도 일치 단일 검색 결과"
"297","조만억헤어마당","경기도 수원시 장안구 송정로177번길 4 (조원동)","경기도","False","MATCHED","1","경기도 수원시 장안구 송정로177번길 4","37.2986296","127.0158025","시도 일치 단일 검색 결과"
"298","좋은헤어","경기도 수원시 권선구 경수대로235번길 56","경기도","False","MATCHED","1","경기도 수원시 권선구 경수대로235번길 56","37.2494336","127.0147371","시도 일치 단일 검색 결과"
"299","파크이발","경기도 수원시 장안구 정자천로189번길 47","경기도","False","MATCHED","1","경기도 수원시 장안구 정자천로189번길 47 연꽃마을 풍림아파트","37.2981631","126.9925735","시도 일치 단일 검색 결과"
"300","할리바버샵","경기도 수원시 권선구 금곡로 236","경기도","False","MATCHED","1","경기도 수원시 권선구 금곡로 236 홈플러스","37.2743891","126.9558949","시도 일치 단일 검색 결과"
"308","스컬스바버샵","경기도 시흥시 서울대학로264번길 12","경기도","False","MATCHED","1","경기도 시흥시 서울대학로264번길 12 시흥배곧 C2블럭 호반 써밋플레이스 아파트","37.3683075","126.7249125","시도 일치 단일 검색 결과"
"321","국민낙곱새(평촌점)","경기도 안양시 동안구흥안대로457- 27(관양동)","경기도","True","MATCHED","1","경기도 안양시 동안구 흥안대로 457-27","37.3946502","126.9735876","기존 비정상 좌표를 시도·주소 일치 단일 검색 결과로 교체"
"337","가마골 백숙","경기도 양주시 장흥면 북한산로 1028","경기도","False","MATCHED","1","경기도 양주시 장흥면 북한산로 1028","37.7135996","126.9713192","시도 일치 단일 검색 결과"
"338","거석골","경기도 양주시 백석읍 기산로 503","경기도","False","MATCHED","1","경기도 양주시 백석읍 기산로 503","37.7776188","126.9453191","시도 일치 단일 검색 결과"
"339","거시기닭갈비","경기도 양주시 엄상동길 22-25","경기도","False","MATCHED","1","경기도 양주시 엄상동길 22-25","37.8302412","127.067514","시도 일치 단일 검색 결과"
